OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001172,Quality Control Sample-Field Replicate,Water,Surface Water,2020-09-30,12:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Falling stage,Storm,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,Escherichia coli,,5700,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000550,Sample-Routine,Water,Surface Water,2020-03-03,10:16:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Not applicable,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,1900,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000377,Sample-Routine,Water,Surface Water,2020-01-25,11:10:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Falling stage,Storm,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,5100,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000754,Sample-Routine,Water,Surface Water,2020-04-30,15:15:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Rising stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,14000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100101,Sample-Routine,Water,Surface Water,2020-11-11,23:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Rising stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,22000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000397,Sample-Routine,Water,Surface Water,2020-02-06,18:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Falling stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,4000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100088,Sample-Routine,Water,Surface Water,2020-11-09,10:36:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,19000,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02001105,Sample-Routine,Water,Surface Water,2020-09-18,09:44:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01651800,,,Falling stage,Storm,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81,,Escherichia coli,,2400,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000726,Sample-Routine,Water,Surface Water,2020-04-24,05:55:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Rising stage,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,9900,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,nwismd.01.02000500,Sample-Routine,Water,Surface Water,2020-02-06,17:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649500,,,Peak stage,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",,Escherichia coli,,3800,MPN/100 ml,,Accepted,,Actual,,,,,,,50468,,,,,,BAC15,USGS,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,holding time exceeded,,,,,NWIS
